Country Name,Country Code,ISO Code,Population,Area,GDP
Aruba,297,AW / ABW,71566,193,2.516 Billion
Australia,61,AU / AUS,21515754,7686850,1.488 Trillion
Armenia,374,AM / ARM,2968000,29800,10.44 Billion
Afghanistan,93,AF / AFG,29121286,647500,20.65 Billion
Argentina,54,AR / ARG,41343201,2766890,484.6 Billion
Antigua and Barbuda,1-268,AG / ATG,86754,443,1.22 Billion
American Samoa,1-684,AS / ASM,57881,199,462.2 Million
Anguilla,1-264,AI / AIA,13254,102,175.4 Million
Algeria,213,DZ / DZA,34586184,2381740,215.7 Billion
Andorra,376,AD / AND,84000,468,4.8 Billion
Angola,244,AO / AGO,13068161,1246700,124 Billion
Austria,43,AT / AUT,8205000,83858,417.9 Billion
Azerbaijan,994,AZ / AZE,8303512,8303512,76.01 Billion
Bahamas,1-242,BS / BHS,301790,13940,8.373 Billion
Bahrain,973,BH / BHR,738004,665,28.36 Billion
Bangladesh,880,BD / BGD,156118464,144000,140.2 Billion
Barbados,1-246,BB / BRB,285653,431,4.262 Billion
Belarus,375,BY / BLR,9685000,207600,69.24 Billion
Belgium,32,BE / BEL,10403000,30510,507.4 Billion
Armenia,374,AM / ARM,2968000,29800,10.44 Billion
Antarctica,672,AQ / ATA,0,14000000,n/a
